id,claim,image_provided,image_facts,text_facts,normalized_facts,rag_queries,hyde_doc_1,hyde_doc_2,error
127,Chuyến bay QR977 của hãng hàng không Qatar Airways từ Hà Nội đi Doha đã bị hủy vào lúc 19h10 ngày 01/3/2026 với 361 hành khách.,False,,Chuyến bay QR977 của hãng hàng không Qatar Airways từ Hà Nội đi Doha.|Chuyến bay bị hủy vào lúc 19h10 ngày 01/3/2026.|Có 361 hành khách trên chuyến bay QR977.,Chuyến bay QR977|Hãng hàng không Qatar Airways|Hà Nội|Doha|Ngày 01/3/2026|19h10|361 hành khách,QR977 bị hủy|Hành khách trên QR977|Hãng hàng không Qatar Airways,"{'title': 'Chuyến bay QR977 của Qatar Airways bị hủy', 'content': 'Chuyến bay QR977 của hãng hàng không Qatar Airways từ Hà Nội đi Doha đã bị hủy vào lúc 19h10 ngày 01/3/2026 với 361 hành khách.'}","{'title': 'Thông tin chi tiết về chuyến bay QR977', 'content': 'Chuyến bay QR977 của hãng hàng không Qatar Airways từ Hà Nội đi Doha đã bị hủy vào lúc 19h10 ngày 01/3/2026 với 361 hành khách.'}",
128,"Chuyến bay EY431 của hãng hàng không Etihad Airways từ Hà Nội đi Abu Dhabi đã bị hủy lúc 20h00 ngày 01/3/2026, ảnh hưởng đến 276 hành khách.",False,,Chuyến bay EY431 của hãng hàng không Etihad Airways từ Hà Nội đi Abu Dhabi|Chuyến bay này bị hủy|Sự việc xảy ra lúc 20h00 ngày 01/3/2026|Chuyến bay ảnh hưởng đến 276 hành khách,Chuyến bay EY431 của hãng hàng không Etihad Airways từ Hà Nội đi Abu Dhabi|Chuyến bay này bị hủy|Sự việc xảy ra lúc 20h00 ngày 01/3/2026|Chuyến bay ảnh hưởng đến 276 hành khách,Chuyến bay EY431 bị hủy|Hành khách bị ảnh hưởng|Ngày 01/3/2026,"{'title': 'Etihad Airways hủy chuyến bay EY431 từ Hà Nội đi Abu Dhabi', 'content': 'Hãng hàng không Etihad Airways đã thông báo rằng chuyến bay EY431 từ Hà Nội đi Abu Dhabi đã bị hủy vào lúc 20h00 ngày 01/3/2026. Sự việc đã ảnh hưởng đến 276 hành khách trên chuyến bay này.'}","{'title': 'Chuyến bay EY431 của Etihad Airways bị hủy', 'content': 'Chuyến bay EY431 của hãng hàng không Etihad Airways từ Hà Nội đi Abu Dhabi đã bị hủy vào lúc 20h00 ngày 01/3/2026. Hành khách trên chuyến bay này đã được thông báo về sự cố và sẽ được hỗ trợ để tìm kiếm các phương tiện thay thế.'}",
129,Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines từ Istanbul đến Hà Nội và ngược lại đã bị hủy do xung đột quân sự.,False,,Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines đã bị hủy.|Chuyến bay này đi từ Istanbul đến Hà Nội và ngược lại.|Xung đột quân sự là nguyên nhân gây ra việc hủy chuyến bay.|Chuyến bay TK164/TK165 thuộc hãng hàng không Turkish Airlines.,Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines đã bị hủy.|Chuyến bay này đi từ Istanbul đến Hà Nội và ngược lại.|Xung đột quân sự là nguyên nhân gây ra việc hủy chuyến bay.|Chuyến bay TK164/TK165 thuộc hãng hàng không Turkish Airlines.,Chuyến bay TK164/TK165|Hãng hàng không Turkish Airlines|Istanbul và Hà Nội,"{'title': 'Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines bị hủy vì xung đột quân sự', 'content': 'Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines đã bị hủy do xung đột quân sự giữa hai quốc gia. Chuyến bay này thường đi từ Istanbul đến Hà Nội và ngược lại, nhưng do tình hình căng thẳng, chuyến bay đã phải hủy bỏ. Đây là một thông tin đáng tiếc cho hành khách và công ty hàng không.'}","{'title': 'Xung đột quân sự làm hủy chuyến bay TK164/TK165 của Turkish Airlines', 'content': 'Chuyến bay TK164/TK165 của hãng hàng không Turkish Airlines đã bị hủy do xung đột quân sự giữa hai quốc gia. Chuyến bay này thường đi từ Istanbul đến Hà Nội và ngược lại, nhưng do tình hình căng thẳng, chuyến bay đã phải hủy bỏ. Đây là một thông tin đáng tiếc cho hành khách và công ty hàng không.'}",
130,Tổng số chuyến bay bị hủy do ảnh hưởng xung đột quân sự ở Trung Đông trong bản cập nhật này là 06 chuyến.,False,,Số lượng chuyến bay bị hủy được cập nhật trong bản cập nhật này.|Số lượng chuyến bay bị hủy do ảnh hưởng của xung đột quân sự ở Trung Đông.|Số lượng chuyến bay bị hủy là 06 chuyến.,Số lượng chuyến bay bị hủy|Ảnh hưởng của xung đột quân sự ở Trung Đông|Số lượng chuyến bay bị hủy là 06 chuyến.,số lượng chuyến bay bị hủy|ảnh hưởng của xung đột quân sự ở Trung Đông|số lượng chuyến bay bị hủy là 06 chuyến.,"{'doc_type': 'News', 'title': 'Cập nhật số lượng chuyến bay bị hủy do xung đột quân sự ở Trung Đông', 'content': 'Trong bản cập nhật mới nhất, tổng số chuyến bay bị hủy do ảnh hưởng của xung đột quân sự ở Trung Đông đã tăng lên 06 chuyến.'}","{'doc_type': 'Report', 'title': 'Thống kê chuyến bay bị hủy do xung đột quân sự ở Trung Đông', 'content': 'Theo bản cập nhật mới nhất, có 06 chuyến bay bị hủy do ảnh hưởng của xung đột quân sự ở Trung Đông.'}",
131,Chuyến bay vận chuyển hàng hóa QR8952/QR8953 của Qatar Airways chắc chắn sẽ bị hủy vào 20h15 ngày 01/3/2026.,False,,Chuyến bay QR8952/QR8953 của Qatar Airways có thể bị hủy vào 20h15 ngày 01/3/2026.|Chuyến bay này được vận chuyển hàng hóa.|Chuyến bay QR8952/QR8953 của Qatar Airways có thể bị hủy vào 20h15 ngày 01/3/2026.,Chuyến bay QR8952/QR8953 của Qatar Airways có thể bị hủy vào 20h15 ngày 01/3/2026.|Chuyến bay này được vận chuyển hàng hóa.,Chuyến bay QR8952/QR8953|Qatar Airways|Vận chuyển hàng hóa,"{'title': 'Cảnh báo về chuyến bay QR8952/QR8953 của Qatar Airways', 'content': 'Chuyến bay QR8952/QR8953 của Qatar Airways có thể bị hủy vào 20h15 ngày 01/3/2026. Vui lòng kiểm tra lịch trình và cập nhật thông tin mới nhất từ Qatar Airways.'}","{'title': 'Thông báo về việc hủy chuyến bay QR8952/QR8953 của Qatar Airways', 'content': 'Chuyến bay QR8952/QR8953 của Qatar Airways có thể bị hủy vào 20h15 ngày 01/3/2026. Vui lòng liên hệ với Qatar Airways để biết thêm chi tiết và nhận hướng dẫn xử lý.'}",
132,"Ngoài các hãng hàng không đã nêu, hãng hàng không Bamboo Airways cũng có một chuyến bay bị hoãn vào ngày 01/3/2026 do xung đột tại Trung Đông.",False,,Có một sự kiện liên quan đến ngành hàng không diễn ra vào ngày 01/3/2026.|Hãng hàng không Bamboo Airways là một trong những nhà cung cấp dịch vụ hàng không được đề cập.|Hãng hàng không Bamboo Airways có một chuyến bay bị hoãn vào ngày 01/3/2026.|Lý do cho việc hoãn chuyến bay của Bamboo Airways là do xung đột tại Trung Đông.,Có một sự kiện liên quan đến ngành hàng không diễn ra vào ngày 01/3/2026.|Hãng hàng không Bamboo Airways là một trong những nhà cung cấp dịch vụ hàng không được đề cập.|Hãng hàng không Bamboo Airways có một chuyến bay bị hoãn vào ngày 01/3/2026.|Lý do cho việc hoãn chuyến bay của Bamboo Airways là do xung đột tại Trung Đông.,Chuyến bay bị hoãn của Bamboo Airways|Nguyên nhân cho việc hoãn chuyến bay|Sự kiện liên quan đến ngành hàng không,Bamboo Airways thông báo rằng họ sẽ hoãn một chuyến bay vào ngày 01/3/2026 do xung đột tại Trung Đông.,"Một sự kiện lớn xảy ra trong ngành hàng không vào ngày 01/3/2026, khiến cho hãng hàng không Bamboo Airways phải hoãn một chuyến bay.",
133,Áp thấp nhiệt đới đã mạnh lên thành bão và đi vào Biển Đông vào tối ngày 25/11/2025.,True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão",1. Áp thấp nhiệt đới đã mạnh lên thành bão vào ngày 25/11/2025.|2. Sự kiện này đã diễn ra vào tối ngày 25/11/2025.|3. Áp thấp nhiệt đới đã di chuyển đến Biển Đông vào ngày 25/11/2025.,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão|Áp thấp nhiệt đới đã mạnh lên thành bão vào ngày 25/11/2025.|Sự kiện này đã diễn ra vào tối ngày 25/11/2025.|Áp thấp nhiệt đới đã di chuyển đến Biển Đông vào ngày 25/11/2025.",Áp thấp nhiệt đới mạnh lên thành bão|Di chuyển đến Biển Đông vào tối ngày 25/11/2025|Điều gì xảy ra với áp thấp nhiệt đới vào ngày 25/11/2025?,"Ngày 25/11/2025, áp thấp nhiệt đới đã mạnh lên thành bão và di chuyển đến Biển Đông vào tối cùng ngày. Trung tâm Dự báo khí tượng thủy văn quốc gia đã đưa ra các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025. Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão. Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ cũng được hiển thị rõ ràng. Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây.","Trong ngày 25/11/2025, áp thấp nhiệt đới đã mạnh lên thành bão và di chuyển đến Biển Đông vào tối cùng ngày. Trung tâm Dự báo khí tượng thủy văn quốc gia đã đưa ra các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025. Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão. Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ cũng được hiển thị rõ ràng. Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây.",
134,"Vào 07 giờ ngày 26/11/2025, tâm bão số 15 ở vị trí 12,3 độ Vĩ Bắc và 118,3 độ Kinh Đông, cách đảo Song Tử Tây khoảng 440km về phía Đông.",True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão","Sự kiện xảy ra vào ngày 26 tháng 11 năm 2025.|Thời gian của sự kiện là 07 giờ.|Tâm bão số 15 đang tồn tại.|Tâm bão nằm ở vị trí 12,3 độ Vĩ Bắc và 118,3 độ Kinh Đông.|Tâm bão cách đảo Song Tử Tây khoảng 440km về phía Đông.","Sự kiện xảy ra vào ngày 26 tháng 11 năm 2025.|Thời gian của sự kiện là 07 giờ.|Tâm bão số 15 đang tồn tại.|Tâm bão nằm ở vị trí 12,3 độ Vĩ Bắc và 118,3 độ Kinh Đông.|Tâm bão cách đảo Song Tử Tây khoảng 440km về phía Đông.",bão số 15|vị trí của bão|cách đảo Song Tử Tây,"Ngày 26/11/2025, tâm bão số 15 sẽ có mặt ở vị trí 12,3 độ Vĩ Bắc và 118,3 độ Kinh Đông, cách đảo Song Tử Tây khoảng 440km về phía Đông. Thời gian của sự kiện là 07 giờ.","Tâm bão số 15 đang tồn tại và sẽ tiếp tục di chuyển qua khu vực Đông Á và Biển Đông. Vị trí của Hà Nội, Đà Nẵng, và TP.HCM trên bản đồ cũng được hiển thị. Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây. Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025 cũng được cung cấp. Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão.",
135,"Cơn bão số 15 được dự báo sẽ di chuyển theo hướng Đông với tốc độ chậm, khoảng 10km/h.",True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão",1. Cơn bão số 15 được dự báo sẽ di chuyển.|2. Hướng của cơn bão là Đông.|3. Tốc độ di chuyển của cơn bão là chậm.|4. Khoảng cách di chuyển mỗi giờ của cơn bão là 10km.,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão|Cơn bão số 15 được dự báo sẽ di chuyển.|Hướng của cơn bão là Đông.|Tốc độ di chuyển của cơn bão là chậm.|Khoảng cách di chuyển mỗi giờ của cơn bão là 10km.",Cơn bão số 15 di chuyển theo hướng Đông|Tốc độ di chuyển của cơn bão là chậm|Khoảng cách di chuyển mỗi giờ của cơn bão là 10km,"Cơn bão số 15 đang di chuyển theo hướng Đông với tốc độ chậm, khoảng 10km/h. Trung tâm Dự báo khí tượng thủy văn quốc gia đã đưa ra các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025. Biển Đông sẽ chịu ảnh hưởng lớn nhất do cơn bão này. Hãy chú ý đến thông tin này để chuẩn bị cho những tác động có thể xảy ra.","Cơn bão số 15 đang di chuyển theo hướng Đông với tốc độ chậm, khoảng 10km/h. Trung tâm Dự báo khí tượng thủy văn quốc gia đã đưa ra các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025. Biển Đông sẽ chịu ảnh hưởng lớn nhất do cơn bão này. Hãy chú ý đến thông tin này để chuẩn bị cho những tác động có thể xảy ra.",
136,Sức gió mạnh nhất vùng gần tâm bão số 15 được ghi nhận vào 07 giờ ngày 26/11/2025 chỉ đạt cấp 6.,True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão",Sự kiện xảy ra vào ngày 26 tháng 11 năm 2025.|Vùng gần tâm bão số 15 là nơi sự kiện được ghi nhận.|Sức gió mạnh nhất trong vùng đó được ghi nhận.|Sức gió đạt cấp độ 6.|Cấp độ của sức gió được ghi nhận vào thời điểm 07 giờ.,Sức gió mạnh nhất vùng gần tâm bão số 15|được ghi nhận vào 07 giờ ngày 26/11/2025|chỉ đạt cấp 6,sức gió mạnh nhất vùng gần tâm bão số 15|được ghi nhận vào 07 giờ ngày 26/11/2025|chỉ đạt cấp 6,"Ngày 26/11/2025, tại vùng gần tâm bão số 15, đã ghi nhận sức gió mạnh nhất chỉ đạt cấp 6 vào lúc 07 giờ. Trung tâm Dự báo khí tượng thủy văn quốc gia đã đưa ra các dự báo về vị trí của bão trong tuần tới. Biển Đông cũng đang chịu ảnh hưởng của bão này.","Sức gió mạnh nhất vùng gần tâm bão số 15 đã được ghi nhận vào 07 giờ ngày 26/11/2025, chỉ đạt cấp 6. Trong khi đó, các dự báo về vị trí của bão trong tuần tới vẫn đang được cập nhật bởi Trung tâm Dự báo khí tượng thủy văn quốc gia. Biển Đông đang chịu ảnh hưởng của bão này.",
137,Bão số 15 sẽ đổ bộ trực tiếp vào tỉnh Quảng Ngãi vào sáng ngày 30/11/2025.,True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão",1. Bão số 15 sẽ đổ bộ trực tiếp vào tỉnh Quảng Ngãi vào sáng ngày 30/11/2025.|2. Đối tượng là bão số 15.|3. Bão sẽ đổ bộ vào tỉnh Quảng Ngãi.|4. Sự kiện sẽ xảy ra vào sáng ngày 30/11/2025.,Bão số 15|đổ bộ trực tiếp vào tỉnh Quảng Ngãi|sáng ngày 30/11/2025,Bão số 15|đổ bộ trực tiếp vào tỉnh Quảng Ngãi|sáng ngày 30/11/2025,"Báo cáo về sự diễn biến của bão số 15 trong tuần tới, dự kiến nó sẽ đổ bộ trực tiếp vào tỉnh Quảng Ngãi vào sáng ngày 30/11/2025. Cụ thể hơn, bão sẽ di chuyển qua các tỉnh như Hà Nội, Đà Nẵng, TP.HCM trước khi tiến vào Quảng Ngãi. Trong quá trình di chuyển, bão có thể gây mưa lớn và gió mạnh tại các tỉnh này. Người dân nên chuẩn bị sẵn sàng để đối phó với hậu quả của cơn bão này.","Tình hình thời tiết trong tuần tới: Bão số 15 sẽ đổ bộ trực tiếp vào tỉnh Quảng Ngãi vào sáng ngày 30/11/2025. Trước đó, bão sẽ di chuyển qua các tỉnh như Hà Nội, Đà Nẵng, TP.HCM. Người dân cần chú ý đến thông tin thời tiết và chuẩn bị sẵn sàng để đối phó với hậu quả của cơn bão này.",
138,Tổng số cơn bão và áp thấp nhiệt đới đã đi vào Biển Đông trong năm 2025 tính đến thời điểm hiện tại là 15 cơn.,True,"Trung tâm Dự báo khí tượng thủy văn quốc gia|Bản đồ khu vực Đông Á và Biển Đông|Vị trí của Hà Nội, Đà Nẵng, TP.HCM trên bản đồ|Đường đi dự kiến của bão được chỉ dẫn bằng dấu chấm đỏ và đường nét màu xanh lá cây|Các ngày và thời điểm dự kiến cho vị trí của bão trong tuần từ 26/11 đến 30/11/2025|Biển Đông được tô màu tím nhạt để chỉ ra vùng ảnh hưởng của bão",1. Tổng số cơn bão và áp thấp nhiệt đới đã đi vào Biển Đông trong năm 2025 tính đến thời điểm hiện tại là 15 cơn.|2. Số lượng cơn bão và áp thấp nhiệt đới được tính từ thời điểm hiện tại.|3. Thời gian tính từ năm 2025.|4. Địa điểm là Biển Đông.,Tổng số cơn bão và áp thấp nhiệt đới đã đi vào Biển Đông trong năm 2025 tính đến thời điểm hiện tại là 15 cơn.|Số lượng cơn bão và áp thấp nhiệt đới được tính từ thời điểm hiện tại.|Thời gian tính từ năm 2025.|Địa điểm là Biển Đông.,Tổng số cơn bão và áp thấp nhiệt đới|Biển Đông|Năm 2025,"Theo Trung tâm Dự báo khí tượng thủy văn quốc gia, tổng số cơn bão và áp thấp nhiệt đới đã đi vào Biển Đông trong năm 2025 tính đến thời điểm hiện tại là 15 cơn. Số lượng cơn bão và áp thấp nhiệt đới được tính từ thời điểm hiện tại, với thời gian tính từ năm 2025. Địa điểm ảnh hưởng chính là Biển Đông.","Trong năm 2025, Biển Đông đã chịu ảnh hưởng từ 15 cơn bão và áp thấp nhiệt đới. Số lượng cơn bão và áp thấp nhiệt đới được tính từ thời điểm hiện tại, với thời gian tính từ năm 2025. Địa điểm ảnh hưởng chính là Biển Đông.",
139,"Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao, Công an TP Hà Nội.",False,,"Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao.|Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao thuộc Công an TP Hà Nội.","Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao.|Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao thuộc Công an TP Hà Nội.",Streamer Độ Mixi|Phòng An ninh mạng|Công an TP Hà Nội,"{'title': 'Streamer Độ Mixi làm việc tại Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao của Công an TP Hà Nội', 'content': 'Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao của Công an TP Hà Nội.'}","{'title': 'Đặc điểm về công tác phòng, chống tội phạm sử dụng công nghệ cao của Công an TP Hà Nội', 'content': 'Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao của Công an TP Hà Nội.'}",
140,Streamer Độ Mixi đã thừa nhận mình là người trong video clip được lan truyền trên mạng xã hội và xác nhận việc sử dụng shisha.,False,,Sự kiện này đã diễn ra với Streamer Độ Mixi.|Streamer Độ Mixi đã thừa nhận về sự thật của mình.|Video clip được lan truyền trên mạng xã hội liên quan đến Streamer Độ Mixi.|Streamer Độ Mixi đã xác nhận việc sử dụng shisha.,Sự kiện này đã diễn ra với Streamer Độ Mixi.|Streamer Độ Mixi đã thừa nhận về sự thật của mình.|Video clip được lan truyền trên mạng xã hội liên quan đến Streamer Độ Mixi.|Streamer Độ Mixi đã xác nhận việc sử dụng shisha.,Streamer Độ Mixi thừa nhận|video clip lan truyền|shisha sử dụng,Streamer Độ Mixi đã thừa nhận mình là người trong video clip được lan truyền trên mạng xã hội và xác nhận việc sử dụng shisha.,"Streamer Độ Mixi đã thừa nhận về sự thật của mình, và video clip được lan truyền trên mạng xã hội liên quan đến Streamer Độ Mixi cũng đã được xác nhận việc sử dụng shisha.",
141,Streamer Độ Mixi đã bị khởi tố hình sự ngay lập tức sau buổi làm việc với Công an TP Hà Nội.,False,,Sự kiện xảy ra ngay lập tức sau buổi làm việc của Streamer Độ Mixi với Công an TP Hà Nội.|Streamer Độ Mixi là đối tượng trong vụ việc.|Vụ việc liên quan đến việc khởi tố hình sự.|Công an TP Hà Nội là cơ quan chức năng liên quan đến vụ việc.,Sự kiện xảy ra ngay lập tức sau buổi làm việc của Streamer Độ Mixi với Công an TP Hà Nội.|Streamer Độ Mixi là đối tượng trong vụ việc.|Vụ việc liên quan đến việc khởi tố hình sự.|Công an TP Hà Nội là cơ quan chức năng liên quan đến vụ việc.,Streamer Độ Mixi|Công an TP Hà Nội|vụ việc khởi tố hình sự,Streamer Độ Mixi đã bị khởi tố hình sự ngay lập tức sau buổi làm việc với Công an TP Hà Nội. Sự kiện này đã gây xôn xao dư luận và thu hút sự chú ý của công chúng.,Streamer Độ Mixi đã bị khởi tố hình sự vì liên quan đến một vụ việc mà Công an TP Hà Nội đang điều tra. Sự việc xảy ra ngay lập tức sau buổi làm việc giữa Streamer Độ Mixi và Công an TP Hà Nội.,
142,Hành vi sử dụng shisha của Độ Mixi diễn ra trước khi chất này chính thức bị cấm tại Việt Nam.,True,Streamer Đỗ Mixi thừa nhận người trong video clip được lan truyền trên mạng xã hội dùng là mình|Xác nhận việc sử dụng shisha vào ngày 03/9/2025,Hành vi sử dụng shisha của Độ Mixi diễn ra trước thời điểm nào đó.|Chất shisha được cấm tại Việt Nam.|Thời gian cấm chất shisha tại Việt Nam không rõ ràng trong câu.|Độ Mixi là một đối tượng hoặc người liên quan đến hành vi sử dụng shisha.,Streamer Đỗ Mixi thừa nhận người trong video clip được lan truyền trên mạng xã hội dùng là mình|Xác nhận việc sử dụng shisha vào ngày 03/9/2025|Hành vi sử dụng shisha của Độ Mixi diễn ra trước thời điểm nào đó.|Chất shisha được cấm tại Việt Nam.|Thời gian cấm chất shisha tại Việt Nam không rõ ràng trong câu.|Độ Mixi là một đối tượng hoặc người liên quan đến hành vi sử dụng shisha.,Hành vi sử dụng shisha của Độ Mixi diễn ra trước thời điểm nào đó?|Chất shisha được cấm tại Việt Nam khi nào?|Độ Mixi có liên quan đến hành vi sử dụng shisha không?,"Trong một đoạn video được lan truyền trên mạng xã hội, Streamer Đỗ Mixi đã thừa nhận rằng người trong video clip đó là ông ta. Ông ta cũng đã xác nhận rằng hành vi sử dụng shisha của mình đã diễn ra vào ngày 03/9/2025. Tuy nhiên, thời gian cụ thể mà chất shisha được cấm tại Việt Nam vẫn chưa được xác định. Do đó, có thể giả định rằng hành vi sử dụng shisha của Độ Mixi diễn ra trước thời điểm cấm chất này tại Việt Nam.","Trong một đoạn video được lan truyền trên mạng xã hội, Streamer Đỗ Mixi đã thừa nhận rằng người trong video clip đó là ông ta. Ông ta cũng đã xác nhận rằng hành vi sử dụng shisha của mình đã diễn ra vào ngày 03/9/2025. Tuy nhiên, thời gian cụ thể mà chất shisha được cấm tại Việt Nam vẫn chưa được xác định. Do đó, có thể giả định rằng hành vi sử dụng shisha của Độ Mixi diễn ra trước thời điểm cấm chất này tại Việt Nam.",
143,Streamer Độ Mixi đã bị áp dụng biện pháp cấm xuất cảnh sau buổi làm việc với Công an TP Hà Nội.,False,,Sự kiện đã diễn ra sau buổi làm việc giữa Streamer Độ Mixi và Công an TP Hà Nội.|Streamer Độ Mixi là đối tượng trong sự kiện này.|Biện pháp cấm xuất cảnh được áp dụng đối với Streamer Độ Mixi.|Sự kiện xảy ra tại Công an TP Hà Nội.,Sự kiện đã diễn ra sau buổi làm việc giữa Streamer Độ Mixi và Công an TP Hà Nội.|Streamer Độ Mixi là đối tượng trong sự kiện này.|Biện pháp cấm xuất cảnh được áp dụng đối với Streamer Độ Mixi.|Sự kiện xảy ra tại Công an TP Hà Nội.,Streamer Độ Mixi bị cấm xuất cảnh|biện pháp cấm xuất cảnh|sự kiện tại Công an TP Hà Nội,"Streamer Độ Mixi đã bị áp dụng biện pháp cấm xuất cảnh sau buổi làm việc với Công an TP Hà Nội. Sự kiện này đã diễn ra tại Công an TP Hà Nội, và Streamer Độ Mixi là đối tượng chính trong sự kiện này.","Streamer Độ Mixi đã bị áp dụng biện pháp cấm xuất cảnh sau buổi làm việc với Công an TP Hà Nội. Sự kiện này đã diễn ra tại Công an TP Hà Nội, và Streamer Độ Mixi là đối tượng chính trong sự kiện này.",
