claim_id,gold_label,verdict,generated_explanation,gold_reason,factual_consistency,verdict_alignment,completeness,vietnamese_clarity,no_hallucination,overall_score,pass_label,judge_feedback,judge_error
12,nei,REFUTED,"Bùi Quốc Ý bị công an thi hành lệnh tạm giữ hình sự, không phải ra đầu thú. Thông tin này mâu thuẫn trực tiếp với nội dung yêu cầu xác minh.","Claim này được đánh giá là nei vì văn bản và hình ảnh đều không chứa thông tin về việc Bùi Quốc Ý ra đầu thú, cũng như thời điểm cụ thể anh ta bị bắt giữ hoặc trình diện trước cơ quan công an.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với lý do vàng, hỗ trợ cho phán quyết của mô hình và không có thông tin không chính xác hay thêm thắt. Nội dung rõ ràng và dễ hiểu.",
15,refuted,REFUTED,"Bộ Y tế báo cáo có 11.013 trẻ em chào đời trong 5 ngày nghỉ Tết Bính Ngọ 2026, không phải 1.103 như tuyên bố.","Claim này bị đánh giá là refuted vì văn bản gốc cung cấp con số chính xác là 11.013 trẻ, hoàn toàn khác với con số 1.103 trong claim.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn chính xác và rõ ràng, phù hợp với lý do vàng và không có thông tin sai lệch.",
16,nei,NEI,Thông tin về bác sĩ trưởng khoa Sản Bệnh viện Từ Dũ năm 2026 và việc họ trực tiếp đỡ đẻ cho em bé đầu tiên vào giao thừa Tết Bính Ngọ 2026 không có trong bằng chứng.,Claim này được đánh giá là nei vì văn bản và hình ảnh không cung cấp đủ thông tin để xác minh danh tính hoặc vai trò cụ thể của bác sĩ đỡ đẻ cho em bé đầu tiên tại bệnh viện Từ Dũ.,5,5,4,5,5,4.8,pass,"Giải thích phù hợp với lý do vàng và không có thông tin sai lệch. Nó rõ ràng và dễ hiểu, mặc dù có thể mở rộng thêm một chút về lý do tại sao không đủ thông tin.",
11,nei,NEI,"Bằng chứng xác nhận Bùi Quốc Ý cầm đầu băng nhóm và có liên quan đến đấu thầu xây dựng, đang bị điều tra về hành vi vi phạm. Tuy nhiên, không có thông tin nào về việc chiếm đoạt 25 tỷ đồng.",Claim này được đánh giá là nei vì văn bản và hình ảnh đều không cung cấp thông tin về tổng số tiền mà băng nhóm Bùi Quốc Ý đã chiếm đoạt thông qua các hoạt động bất hợp pháp của mình.,5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các yếu tố trong lý do vàng, không có thông tin sai lệch và rõ ràng. Tuy nhiên, có thể mở rộng thêm về lý do tại sao không có thông tin cụ thể về số tiền.",
13,supported,SUPPORTED,Bộ Y tế xác nhận có 11.013 trẻ em chào đời tại các bệnh viện trên toàn quốc trong 5 ngày nghỉ Tết Bính Ngọ 2026.,Claim này được đánh giá là supported vì thông tin về số lượng trẻ chào đời và thời gian diễn ra được văn bản chính và bình luận xác nhận rõ ràng,5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với thông tin trong lý do vàng, hỗ trợ cho phán quyết của mô hình. Nội dung rõ ràng, tự nhiên và không có thông tin không xác thực.",
14,supported,SUPPORTED,"Khoảng 30 sản phụ đã chờ sinh tại Bệnh viện Từ Dũ vào đêm giao thừa Tết Bính Ngọ, và những em bé đầu tiên của năm Bính Ngọ đã chào đời vào thời khắc giao thừa.","Claim này được đánh giá là supported vì văn bản trực tiếp cung cấp thông tin về số lượng sản phụ và địa điểm, hình ảnh cho thấy hoạt động tại Bệnh viện Từ Dũ vào thời điểm liên quan.",5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các thông tin trong lý do vàng, không có mâu thuẫn và rõ ràng. Tuy nhiên, có thể bổ sung thêm một chút về lý do tại sao thông tin này được coi là hỗ trợ cho tuyên bố.",
21,refuted,REFUTED,"Phó Thủ tướng yêu cầu Bộ Nông nghiệp và Môi trường, Bộ Công Thương đảm bảo vận hành khoa học hồ chứa, không phải Bộ Quốc phòng hay Bộ Công an.","Claim này bị đánh giá là refuted vì văn bản chỉ rõ Bộ Nông nghiệp và Môi trường cùng Bộ Công Thương là các đơn vị được yêu cầu về vận hành hồ chứa, không phải Bộ Quốc phòng và Bộ Công an.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn chính xác và rõ ràng, phù hợp với lý do vàng và không có thông tin sai lệch.",
17,nei,NEI,Không có thông tin nào trong bằng chứng được cung cấp để xác minh số lượng sản phụ được thăm khám tại Bệnh viện Từ Dũ trong dịp Tết Bính Ngọ 2026.,Claim này được đánh giá là nei vì không có thông tin nào trong văn bản hoặc hình ảnh hỗ trợ con số 5.000 sản phụ được thăm khám và tư vấn tại Bệnh viện Từ Dũ trong 5 ngày nghỉ Tết.,5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các tiêu chí đánh giá. Nó xác nhận rằng không có thông tin hỗ trợ cho số lượng sản phụ được thăm khám, đồng thời cũng không thêm thông tin không có căn cứ.",
19,supported,REFUTED,"Phó Thủ tướng đưa ra yêu cầu này là Nguyễn Hòa Bình, không phải Hồ Quốc Dũng như thông tin đã nêu.","Claim này được đánh giá là supported vì văn bản trực tiếp trích dẫn lời yêu cầu của Phó Thủ tướng về việc hành động nhanh nhất để cứu dân, và hình ảnh minh họa rõ ràng hành động cứu hộ của quân đội, thể hiện sự hưởng ứng yêu cầu này.",1,1,1,4,2,1.0,fail,"Giải thích không chính xác về người đưa ra yêu cầu, dẫn đến mâu thuẫn với thông tin trong yêu cầu. Điều này làm cho giải thích không thể hỗ trợ cho phán quyết của mô hình và không đầy đủ.",
18,nei,REFUTED,Thông tin cho rằng sản phụ chờ sinh chủ yếu tập trung tại Bệnh viện Phụ sản Trung ương ở Hà Nội bị mâu thuẫn bởi bằng chứng cho thấy có khoảng 30 sản phụ chờ sinh tại Bệnh viện Từ Dũ (TP.HCM) vào đêm giao thừa.,"Claim này được đánh giá là NOT_ENOUGH_INFO vì bài viết chỉ cung cấp thông tin về số sản phụ chờ sinh tại Bệnh viện Từ Dũ (TP.HCM), mà không đề cập đến Bệnh viện Phụ sản Trung ương ở Hà Nội cũng như không cung cấp dữ liệu tổng thể trên toàn quốc. Do đó, không thể xác định liệu Từ Dũ hay bất kỳ bệnh viện nào có phải là nơi tập trung chủ yếu các sản phụ trong đêm giao thừa hay không.",3,4,3,4,4,3.6,borderline,"Giải thích có một số thông tin không chính xác về việc tập trung sản phụ tại Bệnh viện Từ Dũ, nhưng không đề cập đến Bệnh viện Phụ sản Trung ương ở Hà Nội, dẫn đến việc không đủ thông tin để xác định tính chính xác của tuyên bố. Cần cải thiện về tính đầy đủ và sự nhất quán với lý do vàng.",
24,nei,NEI,"Thông tin cung cấp cho thấy Sư đoàn 377 có hỗ trợ người dân vùng lũ lụt tỉnh Khánh Hòa di dời, nhưng không có bằng chứng nào xác nhận họ đã sửa chữa nhà cửa.","Claim này được đánh giá là NOT_ENOUGH_INFO vì bài viết chỉ đề cập đến việc lực lượng Sư đoàn 377 hỗ trợ di dời người dân đến nơi an toàn, mà không cung cấp thông tin về việc sửa chữa nhà cửa. Do đó, không thể xác nhận cũng như không thể bác bỏ việc họ có tham gia sửa chữa nhà cửa hay không.",5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các thông tin trong lý do vàng, không có mâu thuẫn và diễn đạt rõ ràng. Tuy nhiên, có thể mở rộng thêm về lý do không đủ thông tin.",
23,nei,REFUTED,"Chính phủ đã cung cấp 1.759,875 tấn gạo cho Đắk Lắk, không phải 200 tấn. Bộ Nông nghiệp và Môi trường đã hỗ trợ 1.500 thùng mì tôm, không phải 500 thùng từ Chính phủ.","Claim này được đánh giá là nei vì văn bản chỉ đề cập chung chung về việc cung cấp gạo cứu đói mà không đưa ra số lượng cụ thể, loại hàng hóa khác hay địa điểm nhận cứu trợ như Đắk Lắk.",1,1,2,4,1,1.0,fail,"Giải thích không nhất quán với sự thật trong lý do vàng, vì nó đưa ra số liệu cụ thể không được hỗ trợ và mâu thuẫn với nội dung của tuyên bố. Nó cũng không hỗ trợ cho phán quyết của mô hình một cách hợp lý.",
25,supported,SUPPORTED,Công an TP Hà Nội đang điều tra và đề nghị truy tố vụ án hình sự liên quan đến hành vi lừa đảo chiếm đoạt tài sản và rửa tiền.,Claim này được đánh giá là supported vì văn bản trực tiếp xác nhận việc Công an TP Hà Nội đã ra quyết định khởi tố vụ án hình sự với hai tội danh Lừa đảo chiếm đoạt tài sản và Rửa tiền.,3,4,3,4,5,3.8,borderline,"Giải thích có một số thông tin không chính xác về tình trạng của vụ án, vì nó nói rằng Công an đang điều tra và đề nghị truy tố, trong khi vàng bản xác nhận rằng vụ án đã được khởi tố. Tuy nhiên, nó vẫn hỗ trợ cho phán quyết của mô hình và rõ ràng.",
20,supported,NEI,"Sư đoàn 377 có tham gia cứu trợ lũ lụt tại Khánh Hòa, nhưng thông tin về thời gian, địa điểm cụ thể và hình ảnh không được cung cấp đầy đủ trong các nguồn.",Claim này được đánh giá là supported vì văn bản cung cấp bằng chứng trực tiếp và rõ ràng về việc Bộ đội Sư đoàn 377 hỗ trợ di dời người già và trẻ em tại Khánh Hòa.,4,3,3,4,5,3.8,borderline,"Giải thích có tính nhất quán với sự thật nhưng không hoàn toàn hỗ trợ cho phán quyết của mô hình. Nó thiếu thông tin cụ thể và không đề cập rõ ràng đến việc hỗ trợ di dời người già và trẻ em, điều này làm giảm tính đầy đủ của giải thích.",
22,nei,NEI,"Phó Thủ tướng Hồ Quốc Dũng có yêu cầu thả hàng cứu trợ bằng trực thăng cho các khu vực bị cô lập, nhưng không có thông tin nào xác nhận khối lượng hàng cứu trợ là 5 tấn.","Claim này được đánh giá là nei vì văn bản có đề cập đến khả năng thả hàng từ trực thăng nhưng không cung cấp bất kỳ thông tin cụ thể nào về khối lượng hàng cứu trợ, và hình ảnh cũng không thể hiện điều này.",5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các yếu tố trong lý do vàng, không có thông tin sai lệch và rõ ràng trong tiếng Việt.",
28,refuted,REFUTED,"Công an TP Hà Nội đã khởi tố và tạm giam một đối tượng người nước ngoài liên quan đến rửa tiền, mâu thuẫn với thông tin các đối tượng bị tạm giam đều là người Việt Nam.","Claim này bị đánh giá là refuted vì văn bản chỉ xác nhận việc khởi tố và tạm giam 'một đối tượng người nước ngoài', không phải nhiều đối tượng người Việt Nam như claim đã nêu.",5,5,4,5,5,4.8,pass,"Giải thích phù hợp với lý do vàng, nêu rõ sự mâu thuẫn giữa thông tin trong claim và thực tế. Nội dung rõ ràng và không có thông tin không hỗ trợ.",
29,nei,REFUTED,"Công an TP Hà Nội đang điều tra các vụ án rửa tiền, nhưng số tiền thiệt hại được đề cập trong các nguồn tin không phải là 100 tỷ đồng mà là các con số khác nhau, lớn hơn.","Claim này được đánh giá là nei vì văn bản không cung cấp thông tin về tổng số tiền thiệt hại cụ thể của vụ án, và không có nguồn bên ngoài nào xác nhận con số này.",4,5,4,5,5,4.6,pass,"Giải thích phù hợp với lý do vàng, không mâu thuẫn với thông tin và rõ ràng. Tuy nhiên, có thể bổ sung thêm thông tin về việc không có nguồn nào xác nhận con số 100 tỷ đồng.",
31,supported,SUPPORTED,CSGT Đội 6 đã liên hệ ngay với đơn vị điện lực để khắc phục sự cố rò điện tại nút giao Tú Mỡ - Phạm Hùng ở Hà Nội.,Claim này được đánh giá là supported vì văn bản trực tiếp xác nhận việc CSGT Đội 6 đã phát hiện và liên hệ khắc phục sự cố rò điện tại địa điểm và sự kiện được nêu.,5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với thông tin trong lý do vàng, hỗ trợ cho phán quyết của mô hình. Nội dung rõ ràng, tự nhiên và không có thông tin không được hỗ trợ.",
30,nei,SUPPORTED,"Người bị hại đã liên hệ với đối tượng lừa đảo qua Zalo khi có nhu cầu vay tiền, và đối tượng lừa đảo cũng dùng Zalo ảo để tư vấn.","Claim này được đánh giá là nei vì văn bản cung cấp danh sách các ứng dụng được sử dụng nhưng 'Zalo' không nằm trong số đó, do đó không đủ thông tin để xác minh claim.",2,2,2,4,3,2.6,fail,"Giải thích không nhất quán với lý do vàng, vì nó khẳng định rằng người bị hại đã sử dụng Zalo, trong khi lý do vàng chỉ ra rằng không có thông tin xác thực nào về việc này. Điều này dẫn đến sự không phù hợp với phán quyết của mô hình.",
27,refuted,REFUTED,"Các đối tượng lừa đảo không chỉ dùng tiền mặt mà còn sử dụng tiền điện tử (USDT) để rửa tiền và thực hiện các hoạt động phạm pháp, nhằm tránh bị phát hiện.","Claim này bị đánh giá là refuted vì văn bản rõ ràng chỉ ra rằng các đối tượng đã sử dụng tiền để mua tiền điện tử (USDT) nhằm mục đích rửa tiền, điều này mâu thuẫn trực tiếp với tuyên bố chỉ sử dụng tiền mặt.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với lý do vàng, hỗ trợ cho phán quyết của mô hình và rõ ràng, dễ hiểu.",
33,refuted,REFUTED,"Nút giao Tú Mỡ - Phạm Hùng chỉ ngập khoảng 30 cm, không phải 1 mét như thông tin ban đầu. Lực lượng chức năng đã hỗ trợ các phương tiện di chuyển qua khu vực ngập.","Claim này bị đánh giá là refuted vì văn bản gốc chỉ ra mực nước ngập tại nút giao Tú Mỡ - Phạm Hùng là khoảng 30 cm, trái ngược với con số 1 mét mà claim đưa ra.",5,5,4,5,5,4.8,pass,"Giải thích phù hợp với lý do vàng, không có mâu thuẫn và rõ ràng. Tuy nhiên, có thể bổ sung thêm thông tin về lý do tại sao mực nước không đủ để gây khó khăn cho việc di chuyển.",
26,supported,SUPPORTED,"Công an TP Hà Nội đã ghi nhận các vụ lừa đảo với hình thức mời nhận quà tặng và yêu cầu chuyển tiền để thực hiện nhiệm vụ qua các ứng dụng “TTlive”, “Tiktok”, “Tokspot”.",Claim này được đánh giá là supported vì văn bản mô tả cụ thể hình thức và các ứng dụng mà các đối tượng lừa đảo đã sử dụng để dẫn dụ Người bị hại.,5,5,4,5,5,4.8,pass,"Giải thích phù hợp với các thông tin trong lý do vàng và không mâu thuẫn với bối cảnh của tuyên bố. Nó hỗ trợ phán quyết của mô hình một cách hợp lý và rõ ràng. Tuy nhiên, có thể mở rộng thêm một chút về lý do tại sao các thông tin này hỗ trợ tuyên bố.",
38,supported,REFUTED,"Thông tin mâu thuẫn về người phát ngôn Bộ Công an và người công bố kết quả phòng, chống tham nhũng. Một nguồn cho rằng đó là Thiếu tướng Hoàng Anh Tuyên, trong khi nguồn khác lại chỉ ra Thiếu tướng Nguyễn Quốc Toản.","Claim này được đánh giá là supported vì văn bản rõ ràng nêu tên, chức danh và vai trò của Thiếu tướng Hoàng Anh Tuyên trong việc thông báo kết quả công tác năm 2024.",2,1,2,4,3,2.4,fail,"Giải thích không nhất quán với sự thật trong lý do vàng, vì nó mâu thuẫn với thông tin về Thiếu tướng Hoàng Anh Tuyên. Hơn nữa, nó không hỗ trợ cho phán quyết của mô hình và không cung cấp lý do đầy đủ cho việc bác bỏ tuyên bố.",
40,refuted,REFUTED,Bộ Công an khẳng định công tác phòng chống lãng phí sẽ tiếp tục là một trong những nhiệm vụ trọng tâm hàng đầu và được đặc biệt quan tâm trong thời gian tới.,"Claim này bị đánh giá là refuted vì văn bản khẳng định Bộ Công an sẽ đặc biệt quan tâm và coi công tác đấu tranh phòng, chống lãng phí là một trong những nhiệm vụ trọng tâm hàng đầu trong thời gian tới, trái ngược với tuyên bố sẽ loại bỏ.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với lý do vàng, hỗ trợ cho phán quyết của mô hình và rõ ràng, tự nhiên trong tiếng Việt.",
35,nei,NEI,"Sự cố rò điện tại nút giao Tú Mỡ - Phạm Hùng được xác nhận, nhưng không có thông tin về số lượng người bị thương nặng là 5 trường hợp.","Claim này được đánh giá là nei vì văn bản không cung cấp thông tin về số lượng cụ thể các trường hợp bị thương, mức độ nặng nhẹ hay số người bị thương nặng, cũng như không có hình ảnh hay nguồn bên ngoài nào xác nhận con số này.",4,5,4,5,5,4.6,pass,"Giải thích phù hợp với các tiêu chí đánh giá. Nó xác nhận sự cố nhưng chỉ ra rằng không có thông tin cụ thể về số lượng người bị thương nặng, điều này hỗ trợ cho phán quyết NEI. Nội dung rõ ràng và không có thông tin không xác thực.",
37,supported,SUPPORTED,"Cơ quan điều tra Công an nhân dân đã phát hiện gần 5.700 vụ án và hơn 10.200 đối tượng phạm tội liên quan đến trật tự quản lý kinh tế, tham nhũng, chức vụ trong khoảng thời gian từ 15/12/2023 đến 14/12/2024.",Claim này được đánh giá là supported vì nội dung văn bản trực tiếp cung cấp số liệu và khoảng thời gian chính xác của các vụ việc và đối tượng phạm tội được phát hiện.,5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với thông tin trong lý do vàng, hỗ trợ cho phán quyết của mô hình và rõ ràng, dễ hiểu.",
34,refuted,REFUTED,Anh L.V.X không phải là tài xế xe tải và không trực tiếp vận chuyển bệnh nhân. Người trực tiếp vận chuyển bệnh nhân là anh P.V.T.,"Claim này bị đánh giá là refuted vì văn bản chỉ rõ anh L.V.X là người báo tin về bệnh nhân, còn anh P.V.T mới là người lái xe tải đã hỗ trợ vận chuyển bệnh nhân, trái ngược với thông tin trong claim.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn chính xác và rõ ràng, phù hợp với lý do vàng và không có thông tin sai lệch.",
41,nei,REFUTED,Thông tin về số tiền 250 tỷ đồng bị mâu thuẫn trực tiếp với bằng chứng cho thấy lực lượng cảnh sát kinh tế toàn quốc đã thu hồi gần 1.400 tỷ đồng từ các vụ án tham nhũng trong năm 2024.,"Claim này được đánh giá là nei vì văn bản không cung cấp thông tin về số tiền cụ thể đã thu hồi, và không có hình ảnh nào bổ sung dữ liệu này.",2,4,3,4,3,3.2,borderline,"Giải thích không hoàn toàn chính xác vì thông tin về số tiền thu hồi không khớp với dữ liệu đã được cung cấp. Mặc dù giải thích hỗ trợ cho phán quyết của mô hình, nhưng nó không hoàn toàn phù hợp với lý do vàng, dẫn đến sự không nhất quán trong các thông tin.",
36,nei,REFUTED,"Thông tin bệnh nhân là nam giới 61 tuổi tên Nguyễn Văn Thị, bị suy thận độ 4 và được hỗ trợ tại Bệnh viện đa khoa tỉnh Bắc Ninh số 1, mâu thuẫn trực tiếp với tuyên bố.","Claim này được đánh giá là nei vì văn bản không chứa bất kỳ thông tin cụ thể nào về danh tính, tuổi tác hay giới tính của bệnh nhân gãy xương đùi, và không có nguồn bên ngoài nào xác minh các chi tiết này.",1,1,2,4,1,1.0,fail,"Giải thích chứa thông tin sai lệch nghiêm trọng về danh tính và giới tính của bệnh nhân, không phù hợp với lý do vàng. Nó cũng không hỗ trợ cho phán quyết của mô hình.",
32,supported,SUPPORTED,Thông tin xác nhận Trung tá Nguyễn Đức Sơn và Thiếu tá Nguyễn Nhân Nghĩa thuộc Đội CSGT đường bộ số 7 đã hỗ trợ bệnh nhân gãy xương đùi đến Bệnh viện 103 tại ngã ba Xa La vào sáng 7/10/2025.,"Claim này được đánh giá là supported vì văn bản cung cấp đầy đủ thông tin về các cá nhân (Trung tá Nguyễn Đức Sơn, Thiếu tá Nguyễn Nhân Nghĩa), đơn vị (Đội CSGT đường bộ số 7), hành động (hỗ trợ đưa bệnh nhân), địa điểm (ngã ba Xa La đến Bệnh viện 103) và thời gian (sáng 7/10/2025).",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với thông tin trong lý do vàng, hỗ trợ cho phán quyết của mô hình và rõ ràng, dễ hiểu.",
39,refuted,REFUTED,"Các nguồn tin cho thấy số vụ phạm tội tham nhũng, chức vụ được phát hiện trong năm 2024 đã tăng từ gần 14% đến 37,85% so với năm 2023, không phải giảm 14% như tuyên bố.","Claim này bị đánh giá là refuted vì văn bản khẳng định số vụ phạm tội về tham nhũng, chức vụ trong năm 2024 đã tăng gần 14%, không phải giảm.",5,5,5,5,5,5.0,pass,"Giải thích hoàn toàn nhất quán với lý do vàng, hỗ trợ cho phán quyết của mô hình và rõ ràng, tự nhiên trong tiếng Việt.",
