model,claim_id,gold_label,verdict,has_final_error,final_error_type,final_error_text,has_evidence_null,map_results_null_count,has_map_parse_error,map_results_parse_error,normalized_claim,source_file
gemini-2.5-flash-lite,385,supported,SUPPORTED,False,none,,True,1,False,,Trung tâm Báo chí phục vụ Đại hội XVIII Đảng bộ Thành phố Hà Nội đã được khai trương vào ngày 14 tháng 10 năm 2025 tại Trung tâm Hội nghị Quốc gia.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,414,supported,SUPPORTED,False,none,,True,1,False,,Mục đích của việc Việt Nam huy động dầu là để đảm bảo nguồn cung dầu trước mắt và ổn định tâm lý thị trường cũng như đời sống của người dân.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,421,refuted,NEI,False,none,,True,1,False,,Cục Cảnh sát giao thông yêu cầu các địa phương tiếp tục sử dụng đèn tín hiệu giao thông thế hệ cũ nhằm mục đích tiết kiệm chi phí nâng cấp.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,464,refuted,REFUTED,False,none,,True,1,False,,Tổng lượng mưa trong 06 giờ qua tại toàn thành phố Huế là từ 200-300mm.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,594,refuted,REFUTED,False,none,,True,1,False,,Lũ trên sông Hương tại Hội An được dự báo có thể vượt mốc lũ lịch sử năm 1964 vào tối nay.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,675,nei,REFUTED,False,none,,True,1,False,,Tổng số tiền thu hồi cho ngân sách nhà nước từ vụ án gây ô nhiễm môi trường và vi phạm kế toán là 100 tỷ đồng.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,712,supported,REFUTED,False,none,,True,1,False,,"Cán bộ và chiến sĩ của Trung đoàn 910, Trường Sĩ quan Không quân đang khẩn trương xây dựng nhà ở cho người dân vùng lũ tại xã Tuy An Đông, tỉnh Đắk Lắk vào dịp cuối năm.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,774,refuted,NEI,False,none,,True,1,False,,Bộ Quốc phòng được Thủ tướng yêu cầu nghiên cứu và phát triển trí tuệ nhân tạo (AI) lưỡng dụng để phục vụ phòng chống tội phạm và quản lý dân cư.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,797,supported,SUPPORTED,False,none,,True,1,False,,"Lực lượng Công an tỉnh Gia Lai đã tích cực triển khai ""Chiến dịch Quang Trung"" để xây dựng nhà tình nghĩa cho người dân bị thiệt hại do thiên tai.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,830,nei,NEI,False,none,,True,1,False,,Công ty TNHH công nghệ Herbitech đã sử dụng 200 phiếu kết quả thử nghiệm giả mạo để đưa sản phẩm ra thị trường.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,852,refuted,REFUTED,False,none,,True,1,False,,"Đồng chí Nguyễn Thị Thanh, Ủy viên Trung ương Đảng, Phó Chủ tịch Quốc hội, chủ trì Hội thảo quốc tế về Kinh tế dữ liệu.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,906,refuted,NEI,False,none,,True,1,False,,Mực nước lũ tại các trạm Tân Châu và Châu Đốc thuộc Đồng bằng sông Cửu Long được dự báo sẽ tiếp tục tăng cao cho đến hết tháng 12.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,949,refuted,REFUTED,False,none,,True,1,False,,Bùi Phương Nam có kết quả nồng độ cồn là 0.25 miligam/lít khí thở khi bị kiểm tra.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,985,refuted,NEI,False,none,,True,1,False,,Văn kiện trình Đại hội XIV của Đảng đã được Quốc hội chính thức thông qua vào chiều ngày 4 tháng 11.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,981,nei,REFUTED,False,none,,True,1,False,,"Nguyễn Long Vũ bị bắt giữ sau khi có tin báo từ Trần Thanh Hải, một người chứng kiến trực tiếp vụ việc.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1019,supported,REFUTED,False,none,,True,1,False,,"Đại tướng Lương Tam Quang, Bộ trưởng Bộ Công an, cùng Đại tướng Phan Văn Giang, Bộ trưởng Bộ Quốc phòng và đồng chí Lê Hoài Trung, Bộ trưởng Bộ Ngoại giao đã đồng chủ trì Lễ ký kết Quy chế phối hợp.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1023,nei,NEI,False,none,,True,1,False,,Thủ tướng Chính phủ Phạm Minh Chính đã có bài phát biểu quan trọng dài 30 phút tại buổi lễ.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1021,refuted,REFUTED,False,none,,True,1,False,,Chủ tịch nước Lương Cường là một trong ba Bộ trưởng đồng chủ trì Lễ ký kết Quy chế phối hợp.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1032,refuted,REFUTED,False,none,,True,1,False,,Thượng sĩ Nguyễn Ngọc Minh Nhật hy sinh vì tai nạn giao thông khi đang tuần tra kiểm soát.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1088,nei,NEI,False,none,,True,1,False,,Đồng chí Lao Hoàng Hải đã hy sinh vào lúc 14 giờ ngày 11 tháng 2 năm 2026 tại quốc lộ 3.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1097,supported,NEI,False,none,,True,2,False,,"Các bộ, ngành và địa phương được yêu cầu xây dựng bộ chỉ số hiệu suất công việc (KPI) nhằm đo lường, kiểm tra, giám sát và đánh giá hiệu quả công việc.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1112,nei,NEI,False,none,,True,1,False,,Tổng lượng khí nhà kính phát thải của Phúc Sinh trong năm 2023 đã giảm 15% so với năm 2022.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1108,supported,NEI,False,none,,True,1,False,,Tập đoàn Phúc Sinh là đơn vị đầu tiên tại Việt Nam thực hiện kiểm kê khí nhà kính cho toàn bộ hệ thống nhà máy của mình.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1151,supported,NEI,False,none,,True,1,False,,"Trong 06 giờ tới, nhiều xã thuộc tỉnh Khánh Hòa có nguy cơ xảy ra lũ quét và sạt lở đất tại các sông, suối nhỏ vùng núi.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1154,nei,NEI,False,none,,True,1,False,,Tổng lượng mưa dự kiến trong 06 giờ tới tại Khánh Hòa sẽ đạt 100mm.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1170,refuted,REFUTED,False,none,,True,1,False,,Công điện khẩn được gửi từ Ủy ban nhân dân tỉnh Thừa Thiên Huế đến các đơn vị trực thuộc.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1162,supported,SUPPORTED,False,none,,True,1,False,,"Đoàn đại biểu Bộ Công an Việt Nam, do Trung tướng Phạm Thế Tùng làm Trưởng đoàn, đã thăm và làm việc tại Vương quốc Anh từ ngày 29 tháng 6 đến ngày 3 tháng 7 năm 2025.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1194,refuted,NEI,False,none,,True,1,False,,Thủ tướng Chính phủ Phạm Minh Chính đã thăm và làm việc tại Nam Phi theo lời mời của Đảng ANC vào tháng 7 năm 2020.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1223,supported,SUPPORTED,False,none,,True,1,False,,"Khu vực Bắc Biển Đông có khả năng xuất hiện gió Đông Bắc mạnh cấp 7, có nơi cấp 8, giật cấp 9-10 và sóng biển cao từ 3 đến 5 mét do ảnh hưởng của không khí lạnh mạnh.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1256,nei,NEI,False,none,,True,1,False,,Mỗi người có giấy phép lái xe chỉ được kiểm tra kiến thức pháp luật tối đa hai lần để phục hồi điểm trong vòng một năm.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,1263,nei,REFUTED,False,none,,True,1,False,,Huyện Điện Biên Đông (cũ) đã hoàn thành việc khắc phục hậu quả thiên tai vào cuối ngày 2 tháng 8.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
